b,30.83,0,0,5,w,v,1.25,1,1,01,3,5,00202,0,1
a,58.67,4.46,0,5,q,h,3.04,1,1,06,3,5,00043,560,1
a,24.50,0.5,0,5,q,h,1.5,1,3,0,3,5,00280,824,1
b,27.83,1.54,0,5,w,v,3.75,1,1,05,1,5,00100,3,1
b,20.17,5.625,0,5,w,v,1.71,1,3,0,3,s,00120,0,1
b,32.08,4,0,5,m,v,2.5,1,3,0,1,5,00360,0,1
b,33.17,1.04,0,5,r,h,6.5,1,3,0,1,5,00164,31285,1
a,22.92,11.585,0,5,cc,v,0.04,1,3,0,3,5,00080,1349,1
b,54.42,0.5,4,p,k,h,3.96,1,3,0,3,5,00180,314,1
b,42.50,4.915,4,p,w,v,3.165,1,3,0,1,5,00052,1442,1
b,22.08,0.83,0,5,c,h,2.165,3,3,0,1,5,00128,0,1
b,29.92,1.835,0,5,c,h,4.335,1,3,0,3,5,00260,200,1
a,38.25,6,0,5,k,v,1,1,3,0,1,5,00000,0,1
b,48.08,6.04,0,5,k,v,0.04,3,3,0,3,5,00000,2690,1
a,45.83,10.5,0,5,q,v,5,1,1,07,1,5,00000,0,1
b,36.67,4.415,4,p,k,v,0.25,1,1,10,1,5,00320,0,1
b,28.25,0.875,0,5,m,v,0.96,1,1,03,1,5,00396,0,1
a,23.25,5.875,0,5,q,v,3.17,1,1,10,3,5,00120,245,1
b,21.83,0.25,0,5,d,h,0.665,1,3,0,1,5,00000,0,1
a,19.17,8.585,0,5,cc,h,0.75,1,1,07,3,5,00096,0,1
b,25.00,11.25,0,5,c,v,2.5,1,1,17,3,5,00200,1208,1
b,23.25,1,0,5,c,v,0.835,1,3,0,3,s,00300,0,1
a,47.75,8,0,5,c,v,7.875,1,1,06,1,5,00000,1260,1
a,27.42,14.5,0,5,x,h,3.085,1,1,01,3,5,00120,11,1
a,41.17,6.5,0,5,q,v,0.5,1,1,03,1,5,00145,0,1
a,15.83,0.585,0,5,c,h,1.5,1,1,02,3,5,00100,0,1
a,47.00,13,0,5,i,bb,5.165,1,1,09,1,5,00000,0,1
b,56.58,18.5,0,5,d,bb,15,1,1,17,1,5,00000,0,1
b,57.42,8.5,0,5,e,h,7,1,1,03,3,5,00000,0,1
b,42.08,1.04,0,5,w,v,5,1,1,06,1,5,00500,10000,1
b,29.25,14.79,0,5,aa,v,5.04,1,1,05,1,5,00168,0,1
b,42.00,9.79,0,5,x,h,7.96,1,1,08,3,5,00000,0,1
b,49.50,7.585,0,5,i,bb,7.585,1,1,15,1,5,00000,5000,1
a,36.75,5.125,0,5,e,v,5,1,3,0,1,5,00000,4000,1
a,22.58,10.75,0,5,q,v,0.415,1,1,05,1,5,00000,560,1
b,27.83,1.5,0,5,w,v,2,1,1,11,1,5,00434,35,1
b,27.25,1.585,0,5,cc,h,1.835,1,1,12,1,5,00583,713,1
a,23.00,11.75,0,5,x,h,0.5,1,1,02,1,5,00300,551,1
b,27.75,0.585,4,p,cc,v,0.25,1,1,02,3,5,00260,500,1
b,54.58,9.415,0,5,33,33,14.415,1,1,11,1,5,00030,300,1
b,34.17,9.17,0,5,c,v,4.5,1,1,12,1,5,00000,221,1
b,28.92,15,0,5,c,h,5.335,1,1,11,3,5,00000,2283,1
b,29.67,1.415,0,5,w,h,0.75,1,1,01,3,5,00240,100,1
b,39.58,13.915,0,5,w,v,8.625,1,1,06,1,5,00070,0,1
b,56.42,28,4,p,c,v,28.5,1,1,40,3,5,00000,15,1
b,54.33,6.75,0,5,c,h,2.625,1,1,11,1,5,00000,284,1
a,41.00,2.04,4,p,q,h,0.125,1,1,23,1,5,00455,1236,1
b,31.92,4.46,0,5,cc,h,6.04,1,1,03,3,5,00311,300,1
b,41.50,1.54,0,5,i,bb,3.5,3,3,0,3,5,00216,0,1
b,23.92,0.665,0,5,c,v,0.165,3,3,0,3,5,00100,0,1
a,25.75,0.5,0,5,c,h,0.875,1,3,0,1,5,00491,0,1
b,26.00,1,0,5,q,v,1.75,1,3,0,1,5,00280,0,1
b,37.42,2.04,0,5,w,v,0.04,1,3,0,1,5,00400,5800,1
b,34.92,2.5,0,5,w,v,0,1,3,0,1,5,00239,200,1
b,34.25,3,0,5,cc,h,7.415,1,3,0,1,5,00000,0,1
